NOME;RENDA;GINI;CMI
Sagres (SP);269.22;0.47;24.9
Sairé (PE);165.57;0.45;59.51
Saldanha Marinho (RS);696.76;0.47;14.1
Sales Oliveira (SP);625.21;0.49;20.3
Salesópolis (SP);511.64;0.51;22.6
Sales (SP);462.13;0.47;20.1
Salete (SC);457.69;0.49;24.4
Salgadinho (PB);124.99;0.48;50.09
Salgadinho (PE);158.9;0.51;58.53
Salgado de São Félix (PB);140.48;0.51;48.71
Salgado Filho (PR);262.02;0.57;25.3
Salgado (SE);171.2;0.51;43.84
Salgueiro (PE);281.71;0.61;38.44
Salinas da Margarida (BA);148.32;0.5;55.7
Salinas (MG);268.51;0.58;30.63
Salinópolis (PA);312.12;0.52;26.37
Salitre (CE);110.64;0.49;56.1
Salmourão (SP);336.71;0.42;19.1
Saloá (PE);174.5;0.6;65.9
Saltinho (SC);325.89;0.54;30.5
Saltinho (SP);840.25;0.47;13
Salto da Divisa (MG);287.38;0.63;28.72
Salto de Pirapora (SP);474.19;0.47;18.8
Salto do Céu (MT);312.49;0.48;30.82
Salto do Itararé (PR);309.82;0.49;24.69
Salto do Jacuí (RS);461.22;0.57;19.8
Salto do Lontra (PR);351.83;0.55;21.5
Salto Grande (SP);499.65;0.52;24.5
Salto (SP);681.26;0.46;16.5
Salto Veloso (SC);656.81;0.55;18.8
Salvador (BA);685.87;0.64;36.35
Salvador das Missões (RS);396.96;0.39;18
Salvador do Sul (RS);619.82;0.43;13.6
Salvaterra (PA);197.8;0.55;28.72
Sambaíba (MA);129;0.56;55.92
Sampaio (TO);116.53;0.5;64.48
Sananduva (RS);653.04;0.52;17.8
Sanclerlândia (GO);335.65;0.53;23.3
Sandolândia (TO);345.05;0.47;37.75
Sandovalina (SP);377.99;0.46;19.6
Sangão (SC);620.98;0.45;25.4
Sanharó (PE);267.58;0.55;65.9
Santa Adélia (SP);560.11;0.43;16.5
Santa Albertina (SP);635.22;0.55;19.8
Santa Amélia (PR);350.38;0.56;33.41
Santa Bárbara (BA);149.12;0.52;46.77
Santa Bárbara de Goiás (GO);323.14;0.47;28
Santa Bárbara D'Oeste (SP);645.61;0.41;16.2
Santa Bárbara do Leste (MG);255.23;0.44;28.45
Santa Bárbara do Monte Verde (MG);366.5;0.49;27.05
Santa Bárbara do Pará (PA);198.87;0.5;44.36
Santa Bárbara do Sul (RS);516.14;0.57;17.7
Santa Bárbara do Tugúrio (MG);242.82;0.5;36.66
Santa Bárbara (MG);384.91;0.53;30.15
Santa Branca (SP);582.05;0.5;21
Santa Brígida (BA);99.22;0.55;61.33
Santa Carmem (MT);569.3;0.48;19.82
Santa Cecília do Pavão (PR);280.7;0.49;26.6
Santa Cecília do Sul (RS);431.29;0.5;15.41
Santa Cecília (PB);91;0.48;62.53
Santa Cecília (SC);365.19;0.53;29.2
Santa Clara D'Oeste (SP);385.33;0.46;22.7
Santa Clara do Sul (RS);462.15;0.37;16.1
Santa Cruz Cabrália (BA);349.72;0.63;37.2
Santa Cruz da Baixa Verde (PE);155.62;0.51;47.24
Santa Cruz da Conceição (SP);680.97;0.63;13.7
Santa Cruz da Esperança (SP);530.19;0.53;19.2
Santa Cruz das Palmeiras (SP);570.03;0.51;20.7
Santa Cruz da Vitória (BA);148.95;0.49;45.65
Santa Cruz de Goiás (GO);516.31;0.53;21.8
Santa Cruz de Minas (MG);331.48;0.39;24.84
Santa Cruz de Monte Castelo (PR);377.34;0.52;24.69
Santa Cruz de Salinas (MG);117.29;0.49;49.39
Santa Cruz do Arari (PA);155.89;0.56;45.39
Santa Cruz do Capibaribe (PE);411.88;0.52;40.97
Santa Cruz do Escalvado (MG);190.59;0.49;35.42
Santa Cruz do Piauí (PI);194;0.53;49.82
Santa Cruz do Rio Pardo (SP);682.29;0.53;17.8
Santa Cruz dos Milagres (PI);114.58;0.47;52.79
Santa Cruz do Sul (RS);760.5;0.53;15.1
Santa Cruz do Xingu (MT);521.13;0.55;22.39
Santa Cruz (PB);158.64;0.51;39.41
Santa Cruz (PE);114.38;0.57;57.74
Santa Cruz (RN);216.51;0.52;42.06
Santa Efigênia de Minas (MG);215.06;0.49;31.13
Santa Ernestina (SP);469.41;0.42;24.8
Santa Fé de Goiás (GO);311.06;0.45;19.7
Santa Fé de Minas (MG);196.31;0.53;38.14
Santa Fé do Araguaia (TO);218.12;0.54;44.41
Santa Fé do Sul (SP);708.55;0.49;17
Santa Fé (PR);475.75;0.5;28.03
Santa Filomena do Maranhão (MA);101.79;0.53;56.56
Santa Filomena (PE);91.23;0.55;55.16
Santa Filomena (PI);155.92;0.57;37.69
Santa Gertrudes (SP);569.06;0.4;20.2
Santa Helena de Goiás (GO);433.79;0.53;24.8
Santa Helena de Minas (MG);166.14;0.48;55.8
Santa Helena (MA);167.67;0.5;53.01
Santa Helena (PB);177.2;0.52;44.55
Santa Helena (PR);513.57;0.57;22
Santa Helena (SC);359.4;0.5;18.7
Santa Inês (BA);201.86;0.5;39.74
Santa Inês (MA);251.04;0.55;40
Santa Inês (PB);79.93;0.57;58.34
Santa Inês (PR);356.21;0.45;26.6
Santa Isabel do Ivaí (PR);403.2;0.52;24.5
Santa Isabel do Pará (PA);246.02;0.55;31.09
Santa Isabel do Rio Negro (AM);106.81;0.67;58.86
Santa Isabel (GO);303.27;0.43;29.9
Santa Isabel (SP);544.67;0.47;20
Santa Izabel do Oeste (PR);407.3;0.56;24.5
Santa Juliana (MG);534.2;0.52;20.33
Santa Leopoldina (ES);287.99;0.55;28.72
Santa Lúcia (PR);377.53;0.55;33.4
Santa Lúcia (SP);560.19;0.45;17.7
Santaluz (BA);231.13;0.56;47.88
Santa Luzia (BA);139.11;0.46;48.48
Santa Luzia D'Oeste (RO);234.37;0.49;29.28
Santa Luzia do Itanhy (SE);106.3;0.49;50.59
Santa Luzia do Norte (AL);174.56;0.48;46.73
Santa Luzia do Pará (PA);125.24;0.56;52.05
Santa Luzia do Paruá (MA);117.15;0.52;45.3
Santa Luzia (MA);129.98;0.56;60.54
Santa Luzia (MG);386.67;0.46;23.6
Santa Luzia (PB);232.56;0.52;34.85
Santa Luz (PI);120.79;0.49;41.11
Santa Margarida do Sul (RS);262.41;0.54;12.7
Santa Margarida (MG);416.11;0.61;40.98
Santa Maria da Boa Vista (PE);216;0.55;55.16
Santa Maria das Barreiras (PA);243.14;0.61;31.89
Santa Maria da Serra (SP);476.28;0.45;20.5
Santa Maria da Vitória (BA);196.77;0.6;35.73
Santa Maria de Itabira (MG);309.94;0.57;30.15
Santa Maria de Jetibá (ES);434.18;0.58;23.28
Santa Maria do Cambucá (PE);136.32;0.46;72.74
Santa Maria do Herval (RS);493.95;0.34;20.2
Santa Maria do Oeste (PR);193.28;0.48;34.12
Santa Maria do Pará (PA);259.86;0.55;45.39
Santa Maria do Salto (MG);195.69;0.46;47.21
Santa Maria do Suaçuí (MG);255.51;0.61;33.68
Santa Maria do Tocantins (TO);136.92;0.5;45.93
Santa Maria Madalena (RJ);395;0.53;18.42
Santa Mariana (PR);399.86;0.51;26.6
Santa Maria (RN);164.08;0.48;49.72
Santa Maria (RS);843.18;0.55;15.41
Santa Mercedes (SP);363.84;0.5;22.9
Santa Mônica (PR);248.16;0.47;29.39
Santana (AP);328.83;0.58;28.35
Santana (BA);209;0.58;41.57
Santana da Boa Vista (RS);308.4;0.52;20.9
Santana da Ponte Pensa (SP);488.37;0.42;14.7
Santana da Vargem (MG);533.26;0.55;27.28
Santana de Cataguases (MG);315.24;0.49;27.05
Santana de Mangueira (PB);100.43;0.54;48.92
Santana de Parnaíba (SP);1565.51;0.71;17.4
Santana de Pirapama (MG);240.33;0.54;31.15
Santana do Acaraú (CE);156.15;0.66;47.85
Santana do Araguaia (PA);236.46;0.6;28.42
Santana do Cariri (CE);116.03;0.56;45.29
Santana do Deserto (MG);321.76;0.45;24.42
Santana do Garambéu (MG);247.95;0.57;34.42
Santana do Ipanema (AL);188.57;0.61;50.16
Santana do Itararé (PR);329.94;0.57;25.3
Santana do Jacaré (MG);364.15;0.48;33.79
Sant'Ana do Livramento (RS);607.21;0.6;17.9
Santana do Manhuaçu (MG);290.05;0.5;36.66
Santana do Maranhão (MA);76.12;0.54;48.99
Santana do Matos (RN);139.03;0.55;59.02
Santana do Mundaú (AL);142.69;0.49;48.25
Santana do Paraíso (MG);289.9;0.5;25.07
Santana do Piauí (PI);119.58;0.47;49.82
Santana do Riacho (MG);313.47;0.54;31.15
Santana do São Francisco (SE);127.95;0.48;58.42
Santana do Seridó (RN);180.98;0.41;35.04
Santana dos Garrotes (PB);134.08;0.5;38.33
Santana dos Montes (MG);170.51;0.47;36.5
Santanópolis (BA);132.28;0.52;42.52
Santa Quitéria (CE);160.84;0.59;41.14
Santa Quitéria do Maranhão (MA);124.5;0.51;50.07
Santarém Novo (PA);184.51;0.59;45.39
Santarém (PA);279.01;0.58;27
Santarém (PB);123.26;0.47;47.59
Santa Rita de Caldas (MG);466.37;0.43;21.91
Santa Rita de Cássia (BA);152.85;0.6;36.18
Santa Rita de Ibitipoca (MG);293.6;0.51;32.78
Santa Rita de Jacutinga (MG);352.65;0.48;26.18
Santa Rita de Minas (MG);309.08;0.5;37.04
Santa Rita do Araguaia (GO);425.23;0.57;20.4
Santa Rita D'Oeste (SP);352.76;0.49;23
Santa Rita do Itueto (MG);270.99;0.53;28.66
Santa Rita do Novo Destino (GO);241.87;0.44;32.4
Santa Rita do Pardo (MS);335.46;0.48;27.76
Santa Rita do Passa Quatro (SP);930.59;0.48;17
Santa Rita do Sapucaí (MG);621.02;0.59;21.6
Santa Rita do Tocantins (TO);212.98;0.46;37.05
Santa Rita do Trivelato (MT);372.15;0.5;19.02
Santa Rita (MA);130.14;0.53;51.47
Santa Rita (PB);214.11;0.47;35.24
Santa Rosa da Serra (MG);396.61;0.42;21.95
Santa Rosa de Goiás (GO);317.75;0.54;30.4
Santa Rosa de Lima (SC);461.56;0.46;29.1
Santa Rosa de Lima (SE);154.02;0.48;43.28
Santa Rosa de Viterbo (SP);591.54;0.5;17.3
Santa Rosa do Piauí (PI);143.5;0.52;68.91
Santa Rosa do Purus (AC);84.23;0.57;29.28
Santa Rosa do Sul (SC);394.58;0.45;27.3
Santa Rosa do Tocantins (TO);174.4;0.54;45.93
Santa Rosa (RS);608.84;0.55;13.4
Santa Salete (SP);396.71;0.39;13.4
Santa Teresa (ES);532.31;0.55;15.59
Santa Teresinha (BA);146.3;0.51;34.11
Santa Teresinha (PB);137.95;0.48;32.31
Santa Tereza de Goiás (GO);389.3;0.56;34
Santa Tereza do Oeste (PR);348.17;0.44;31
Santa Tereza do Tocantins (TO);148.26;0.58;41.23
Santa Tereza (RS);587.7;0.4;13
Santa Terezinha de Goiás (GO);313.18;0.55;30.8
Santa Terezinha de Itaipu (PR);536.24;0.54;26.9
Santa Terezinha do Progresso (SC);349.78;0.53;26.9
Santa Terezinha do Tocantins (TO);107.94;0.54;52.33
Santa Terezinha (MT);226.14;0.57;37.61
Santa Terezinha (PE);146.02;0.51;73.63
Santa Terezinha (SC);319.84;0.48;26
Santa Vitória do Palmar (RS);540.34;0.61;20.8
Santa Vitória (MG);461.96;0.56;22.38
Santiago do Sul (SC);274.04;0.5;26.9
Santiago (RS);597.58;0.53;13.8
Santo Afonso (MT);284.92;0.49;28.89
Santo Amaro (BA);245.91;0.56;46.7
Santo Amaro da Imperatriz (SC);575.71;0.45;17.7
Santo Amaro das Brotas (SE);182.96;0.55;36.75
Santo Amaro do Maranhão (MA);78.07;0.57;56.56
Santo Anastácio (SP);521.76;0.54;17.6
Santo André (PB);234.05;0.6;44.05
Santo André (SP);1029.13;0.52;18.52
Santo Ângelo (RS);650.63;0.58;15.7
Santo Antônio da Alegria (SP);528.05;0.52;22.5
Santo Antônio da Barra (GO);372.06;0.48;28.5
Santo Antônio da Patrulha (RS);433.39;0.47;18.7
Santo Antônio da Platina (PR);477.9;0.54;30.6
Santo Antônio das Missões (RS);347.77;0.6;23
Santo Antônio de Goiás (GO);439.87;0.43;20.79
Santo Antônio de Jesus (BA);315.85;0.56;28.07
Santo Antônio de Lisboa (PI);231.82;0.53;55.8
Santo Antônio de Pádua (RJ);475.86;0.55;17.26
Santo Antônio de Posse (SP);630.13;0.54;17.8
Santo Antônio do Amparo (MG);359.83;0.52;31.16
Santo Antônio do Aracanguá (SP);412.23;0.41;21.1
Santo Antônio do Aventureiro (MG);274.05;0.44;27.05
Santo Antônio do Caiuá (PR);305.81;0.43;28.4
Santo Antônio do Descoberto (GO);287.76;0.45;26.2
Santo Antônio do Grama (MG);280.53;0.51;33.65
Santo Antônio do Içá (AM);90.43;0.67;47.6
Santo Antônio do Itambé (MG);141.44;0.49;36.01
Santo Antônio do Jacinto (MG);148.7;0.56;42.88
Santo Antônio do Jardim (SP);468.08;0.46;20.5
Santo Antônio do Leste (MT);320.63;0.47;20.94
Santo Antônio do Leverger (MT);345.54;0.49;25.75
Santo Antônio do Monte (MG);587.14;0.49;22.67
Santo Antônio do Palma (RS);618.15;0.57;13
Santo Antônio do Paraíso (PR);337.64;0.48;30.99
Santo Antônio do Pinhal (SP);566.12;0.57;19.8
Santo Antônio do Planalto (RS);435.13;0.49;11.7
Santo Antônio do Retiro (MG);114.64;0.58;42.48
Santo Antônio do Rio Abaixo (MG);305.94;0.53;33.72
Santo Antônio dos Lopes (MA);139.9;0.54;55.99
Santo Antônio dos Milagres (PI);99.27;0.49;46.29
Santo Antônio do Sudoeste (PR);329.84;0.55;28.81
Santo Antônio do Tauá (PA);173.03;0.52;31.09
Santo Antônio (RN);211.01;0.59;34.55
Santo Augusto (RS);431.68;0.59;17
Santo Cristo (RS);438.54;0.49;20.5
Santo Estêvão (BA);180.13;0.54;38.29
Santo Expedito do Sul (RS);337.96;0.5;18.1
Santo Expedito (SP);406.46;0.51;19.2
Santo Hipólito (MG);237.28;0.58;32.2
Santo Inácio do Piauí (PI);183;0.52;37.56
Santo Inácio (PR);429.04;0.51;23.6
Santópolis do Aguapeí (SP);337.7;0.44;19.4
Santos Dumont (MG);430.9;0.53;24.08
Santos (SP);1441.86;0.53;16.88
São Benedito (CE);178.54;0.55;55.86
São Benedito do Rio Preto (MA);76.86;0.62;52.87
São Benedito do Sul (PE);115.27;0.52;78.55
São Bentinho (PB);138.09;0.43;39.41
São Bento Abade (MG);310.2;0.47;33.66
São Bento do Norte (RN);189.5;0.54;47.88
São Bento do Sapucaí (SP);456.88;0.55;22.1
São Bento do Sul (SC);635.17;0.49;16.3
São Bento do Tocantins (TO);137.89;0.56;60.74
São Bento do Trairí (RN);127.55;0.57;43.52
São Bento do Una (PE);309.1;0.6;55.42
São Bento (MA);130.65;0.54;50.07
São Bento (PB);224.79;0.47;34.04
São Bernardino (SC);330.62;0.45;28.6
São Bernardo do Campo (SP);1011.24;0.54;18
São Bernardo (MA);95;0.59;51.47
São Bonifácio (SC);353.47;0.47;20.2
São Borja (RS);496.09;0.59;17.7
São Brás (AL);134.8;0.6;36.46
São Brás do Suaçuí (MG);347.15;0.52;31.69
São Braz do Piauí (PI);127.31;0.46;50.16
São Caetano de Odivelas (PA);182.99;0.46;29.38
São Caetano do Sul (SP);1639.93;0.5;11.4
São Caitano (PE);189.93;0.5;65.9
São Carlos do Ivaí (PR);390.19;0.43;28.01
São Carlos (SC);844.03;0.57;19.4
São Carlos (SP);898.67;0.5;17.7
São Cristovão do Sul (SC);287.22;0.46;24.2
São Cristóvão (SE);261.6;0.52;32.26
São Desidério (BA);163.73;0.57;44.73
São Domingos (BA);169.1;0.45;50.36
São Domingos das Dores (MG);338.29;0.54;27.36
São Domingos do Araguaia (PA);224.71;0.57;34.99
São Domingos do Azeitão (MA);119.21;0.53;53.3
São Domingos do Capim (PA);187.61;0.55;36
São Domingos do Cariri (PB);221.03;0.46;25.52
São Domingos do Maranhão (MA);178.55;0.55;63.11
São Domingos do Norte (ES);313.9;0.53;26.85
São Domingos do Prata (MG);337.02;0.59;23.64
São Domingos do Sul (RS);604;0.44;14.2
São Domingos (GO);213.83;0.6;30.8
São Domingos (PB);154.54;0.46;52.88
São Domingos (SC);624.61;0.6;22.7
São Domingos (SE);157.68;0.42;50.99
São Felipe (BA);203.42;0.5;34.08
São Felipe D'Oeste (RO);263.7;0.48;29.15
São Félix (BA);223.36;0.57;48.62
São Félix de Balsas (MA);141.81;0.52;41.85
São Félix de Minas (MG);217.18;0.56;35.41
São Félix do Araguaia (MT);415.77;0.62;25.75
São Félix do Coribe (BA);193.74;0.5;37.22
São Félix do Piauí (PI);163.27;0.52;39.73
São Félix do Tocantins (TO);237.6;0.64;50.49
São Félix do Xingu (PA);423.85;0.62;29.48
São Fernando (RN);192.97;0.44;35.04
São Fidélis (RJ);418.24;0.54;20.29
São Francisco de Assis do Piauí (PI);84.62;0.54;53.45
São Francisco de Assis (RS);353.5;0.56;19.7
São Francisco de Goiás (GO);340.03;0.47;27
São Francisco de Itabapoana (RJ);307.5;0.49;20.29
São Francisco de Paula (MG);330.51;0.42;31.16
São Francisco de Paula (RS);476.8;0.55;19.4
São Francisco de Sales (MG);460.27;0.56;18.05
São Francisco do Brejão (MA);185.64;0.54;52.12
São Francisco do Conde (BA);248.79;0.57;37.84
São Francisco do Glória (MG);280.72;0.48;31.15
São Francisco do Guaporé (RO);450.63;0.56;28.36
São Francisco do Maranhão (MA);100.67;0.57;52.12
São Francisco do Oeste (RN);174.86;0.47;40.16
São Francisco do Pará (PA);248.22;0.55;38.08
São Francisco do Piauí (PI);106.14;0.54;54.36
São Francisco do Sul (SC);664.41;0.49;20.4
São Francisco (MG);175.22;0.55;31.13
São Francisco (PB);136.99;0.47;47.4
São Francisco (SE);164.9;0.48;46.59
São Francisco (SP);378.25;0.47;22.7
São Gabriel (BA);218.35;0.51;65.05
São Gabriel da Cachoeira (AM);237.56;0.77;34.2
São Gabriel da Palha (ES);475.1;0.55;22.34
São Gabriel do Oeste (MS);839.53;0.67;21.55
São Gabriel (RS);509.43;0.6;18.4
São Geraldo da Piedade (MG);190.32;0.55;39.52
São Geraldo do Araguaia (PA);267.87;0.53;28.13
São Geraldo do Baixio (MG);224.41;0.48;30.57
São Geraldo (MG);348.54;0.54;25.24
São Gonçalo do Abaeté (MG);354.44;0.52;26.71
São Gonçalo do Amarante (CE);162.82;0.51;50.06
São Gonçalo do Amarante (RN);234.24;0.44;35.26
São Gonçalo do Gurguéia (PI);128.97;0.46;50.16
São Gonçalo do Pará (MG);369.58;0.45;29.84
São Gonçalo do Piauí (PI);142.64;0.5;36.74
São Gonçalo do Rio Abaixo (MG);260.21;0.53;37.12
São Gonçalo do Rio Preto (MG);227.45;0.47;33.65
São Gonçalo do Sapucaí (MG);471.74;0.56;22.61
São Gonçalo dos Campos (BA);221.05;0.57;47.81
São Gonçalo (RJ);539;0.47;19.36
São Gotardo (MG);535.38;0.57;21.59
São Jerônimo da Serra (PR);291.14;0.54;28.59
São Jerônimo (RS);607.2;0.55;22.3
São João Batista do Glória (MG);465.62;0.51;19.57
São João Batista (MA);151.12;0.63;50.93
São João Batista (SC);586.58;0.43;20.3
São João da Baliza (RR);258.85;0.55;31.64
São João da Barra (RJ);353.21;0.5;19.94
São João da Boa Vista (SP);802.79;0.51;14.6
São João da Canabrava (PI);120.82;0.52;62.03
São João da Fronteira (PI);152.09;0.54;52.36
São João da Lagoa (MG);214.78;0.48;31.93
São João D'Aliança (GO);457.89;0.53;26.5
São João da Mata (MG);419.3;0.46;20.74
São João da Paraúna (GO);555.53;0.49;24.7
São João da Ponta (PA);155.47;0.51;38.22
São João da Ponte (MG);168.59;0.48;38.39
São João das Duas Pontes (SP);485.77;0.47;22.9
São João da Serra (PI);104.46;0.54;50.16
São João das Missões (MG);112.78;0.51;31.6
São João da Urtiga (RS);370.63;0.49;20.2
São João da Varjota (PI);124.49;0.57;49.93
São João de Iracema (SP);559.18;0.47;22.3
São João Del Rei (MG);546.07;0.54;16.43
São João de Meriti (RJ);472.22;0.44;19.06
São João de Pirabas (PA);149.85;0.58;32.77
São João do Araguaia (PA);158.18;0.55;52.05
São João do Arraial (PI);115.31;0.55;59.28
São João do Caiuá (PR);323.9;0.49;30.41
São João do Cariri (PB);207.67;0.53;38.73
São João do Carú (MA);101.3;0.53;60.54
São João do Itaperiú (SC);505.78;0.41;19
São João do Ivaí (PR);332.91;0.48;28.81
São João do Jaguaribe (CE);220.84;0.5;30.32
São João do Manhuaçu (MG);406.05;0.57;28.72
São João do Manteninha (MG);280.53;0.5;35.41
São João do Oeste (SC);350.48;0.46;20.2
São João do Oriente (MG);256.22;0.5;33.68
São João do Pacuí (MG);124.28;0.52;39.1
São João do Paraíso (MA);167.55;0.53;45.57
São João do Paraíso (MG);159.72;0.48;27.36
São João do Pau D'Alho (SP);339.7;0.43;22.9
São João do Piauí (PI);219.28;0.58;48.6
São João do Polêsine (RS);659.63;0.53;20.7
São João do Rio do Peixe (PB);179.91;0.56;44.55
São João do Sabugi (RN);227.63;0.49;30.48
São João do Soter (MA);99.24;0.52;61.5
São João dos Patos (MA);198.85;0.56;48.69
São João do Sul (SC);384.4;0.48;24.4
São João do Tigre (PB);131.48;0.51;48.88
São João do Triunfo (PR);256.36;0.57;29.59
São João Evangelista (MG);229.7;0.59;35.81
São João Nepomuceno (MG);462.36;0.5;26.9
São João (PE);150.57;0.56;65.9
São João (PR);471.83;0.54;25.3
São Joaquim da Barra (SP);674.29;0.51;17.6
São Joaquim de Bicas (MG);323.75;0.53;28.72
São Joaquim do Monte (PE);155.37;0.53;69.36
São Joaquim (SC);454.9;0.54;25.5
São Jorge D'Oeste (PR);420.46;0.55;32.3
São Jorge do Ivaí (PR);542.95;0.53;24.71
São Jorge do Patrocínio (PR);308.3;0.53;28
São Jorge (RS);478.59;0.42;20.8
São José da Barra (MG);514.16;0.5;17.7
São José da Bela Vista (SP);438.31;0.47;23.4
São José da Boa Vista (PR);285.86;0.58;31.02
São José da Coroa Grande (PE);196.91;0.58;62.2
São José da Lagoa Tapada (PB);109.65;0.52;51.81
São José da Laje (AL);170.31;0.48;49.48
São José da Lapa (MG);418.97;0.44;28.49
São José da Safira (MG);194.76;0.49;43.77
São José das Missões (RS);306.72;0.6;21.9
São José das Palmeiras (PR);300.15;0.5;24.69
São José da Tapera (AL);87.03;0.58;67.4
São José da Varginha (MG);298.08;0.47;18.05
São José da Vitória (BA);142.64;0.46;46.02
São José de Caiana (PB);110.28;0.51;48.88
São José de Espinharas (PB);143.77;0.45;42.22
São José de Mipibu (RN);207.65;0.54;36.99
São José de Piranhas (PB);161.99;0.55;47.55
São José de Princesa (PB);122.64;0.46;43.24
São José de Ribamar (MA);273.81;0.53;40
São José de Ubá (RJ);410.44;0.59;20.82
São José do Alegre (MG);413.54;0.54;26.01
São José do Barreiro (SP);491.73;0.59;20
São José do Belmonte (PE);161.06;0.56;45.66
São José do Bonfim (PB);129.37;0.45;60.91
São José do Brejo do Cruz (PB);146.61;0.46;47.95
São José do Calçado (ES);416.83;0.55;22.65
São José do Campestre (RN);174.45;0.55;47.12
São José do Cedro (SC);488.85;0.55;19.1
São José do Cerrito (SC);302.8;0.58;31
São José do Divino (MG);251.73;0.59;39.52
São José do Divino (PI);104.71;0.47;46.29
São José do Egito (PE);203.46;0.58;47.24
São José do Goiabal (MG);236.86;0.52;30.15
São José do Herval (RS);373.92;0.59;19.5
São José do Hortêncio (RS);460.47;0.31;17.8
São José do Inhacorá (RS);354.04;0.43;17.8
São José do Jacuípe (BA);132.23;0.46;59.98
São José do Jacuri (MG);233.13;0.5;39.05
São José do Mantimento (MG);236.25;0.48;33.65
São José do Norte (RS);294.27;0.5;26.2
São José do Ouro (RS);492.47;0.55;20.2
São José do Peixe (PI);139.66;0.57;46.83
São José do Piauí (PI);114.21;0.54;49.82
São José do Povo (MT);291.23;0.44;32.3
São José do Rio Claro (MT);499.72;0.57;23.46
São José do Rio Pardo (SP);663.74;0.52;15.8
São José do Rio Preto (SP);1008.91;0.5;16.5
São José do Sabugi (PB);175.73;0.43;35.24
São José dos Ausentes (RS);368.61;0.55;19.6
São José dos Basílios (MA);121.25;0.49;60.54
São José dos Campos (SP);936.61;0.55;17.76
São José dos Cordeiros (PB);150.04;0.49;46.06
São José do Seridó (RN);332.12;0.55;30.48
São José dos Pinhais (PR);619.53;0.49;21.1
São José dos Quatro Marcos (MT);338.93;0.54;26.23
São José dos Ramos (PB);148.72;0.51;51.81
São José do Sul (RS);535.09;0.39;17.6
São José do Vale do Rio Preto (RJ);437.05;0.52;24.08
São José do Xingu (MT);374.3;0.62;29.75
São José (SC);842.19;0.48;17.2
São Julião (PI);187.92;0.53;45.01
São Leopoldo (RS);729.32;0.54;14.21
São Lourenço da Mata (PE);250.2;0.51;46.14
São Lourenço da Serra (SP);509.92;0.5;24.7
São Lourenço do Oeste (SC);552.09;0.52;21.9
São Lourenço do Piauí (PI);123.24;0.47;50.16
São Lourenço do Sul (RS);466.1;0.52;18.1
São Lourenço (MG);796.63;0.61;15.06
São Ludgero (SC);675.16;0.5;22.2
São Luís de Montes Belos (GO);476.71;0.48;24.4
São Luís do Curu (CE);201.74;0.52;55.86
São Luís do Paraitinga (SP);463.62;0.5;24.2
São Luis do Piauí (PI);118.32;0.5;52.36
São Luís do Quitunde (AL);141.55;0.5;39.95
São Luís Gonzaga do Maranhão (MA);120.43;0.55;59.22
São Luís (MA);502.14;0.61;27.44
São Luíz do Norte (GO);268.07;0.5;28.6
São Luiz Gonzaga (RS);507.06;0.55;21
São Luiz (RR);295.57;0.62;31.64
São Mamede (PB);223.22;0.52;44.27
São Manoel do Paraná (PR);338.99;0.46;27.34
São Manuel (SP);597.39;0.5;20.9
São Marcos (RS);756.19;0.48;13.8
São Martinho da Serra (RS);445.65;0.49;16.8
São Martinho (RS);494.62;0.53;21.6
São Martinho (SC);858.09;0.43;29.1
São Mateus do Maranhão (MA);157.35;0.59;61.12
São Mateus do Sul (PR);499.73;0.61;28.01
São Mateus (ES);459.54;0.6;21.86
São Miguel Arcanjo (SP);475.98;0.57;24
São Miguel da Baixa Grande (PI);104.12;0.48;48.77
São Miguel da Boa Vista (SC);287.84;0.54;30.5
São Miguel das Matas (BA);202.61;0.5;34.1
São Miguel das Missões (RS);506.72;0.62;20.2
São Miguel de Taipu (PB);138.81;0.46;57.53
São Miguel do Aleixo (SE);137.24;0.49;43.91
São Miguel do Anta (MG);305;0.55;24.94
São Miguel do Araguaia (GO);461.88;0.6;30.7
São Miguel do Fidalgo (PI);72.9;0.55;46.83
São Miguel do Gostoso (RN);117.2;0.51;52.99
São Miguel do Guamá (PA);245.48;0.53;44.36
São Miguel do Guaporé (RO);291.3;0.62;35.16
São Miguel do Iguaçu (PR);620.43;0.55;30.38
São Miguel do Oeste (SC);603.44;0.51;15.4
São Miguel do Passa Quatro (GO);364.98;0.46;22.1
São Miguel dos Campos (AL);266.49;0.57;33.14
São Miguel dos Milagres (AL);160.08;0.48;33.98
São Miguel do Tapuio (PI);113.58;0.55;45.53
São Miguel do Tocantins (TO);109.31;0.56;50.49
São Miguel (RN);152.25;0.56;50.63
São Nicolau (RS);243.47;0.56;24.9
São Patrício (GO);284.27;0.54;32
São Paulo das Missões (RS);274.55;0.47;19.7
São Paulo de Olivença (AM);102.57;0.67;47.45
São Paulo do Potengi (RN);213.26;0.51;49.72
São Paulo (SP);1216.54;0.61;18.44
São Pedro da Água Branca (MA);177.37;0.54;55.99
São Pedro da Aldeia (RJ);513.35;0.52;20.49
São Pedro da Cipa (MT);368.17;0.46;32.3
São Pedro da Serra (RS);590.72;0.45;17.8
São Pedro das Missões (RS);150.04;0.46;20.9
São Pedro da União (MG);452.12;0.48;23.35
São Pedro de Alcântara (SC);461.17;0.41;20.6
São Pedro do Butiá (RS);434.48;0.46;17.8
